"","V1"
"tweet143.txt",5
"tweet1430.txt",1
"tweet1431.txt",5
"tweet1432.txt",1
"tweet1433.txt",1
"tweet1434.txt",4
"tweet1435.txt",1
"tweet1436.txt",1
"tweet1437.txt",1
"tweet1438.txt",5
"tweet1439.txt",2
"tweet144.txt",1
"tweet1440.txt",2
"tweet1441.txt",5
"tweet1442.txt",3
"tweet1443.txt",1
"tweet1444.txt",1
"tweet1445.txt",3
"tweet1446.txt",1
"tweet1447.txt",4
"tweet1448.txt",5
"tweet1449.txt",2
"tweet145.txt",3
"tweet1450.txt",2
"tweet1451.txt",3
"tweet1452.txt",5
"tweet1453.txt",4
"tweet1454.txt",1
"tweet1455.txt",1
"tweet1456.txt",4
"tweet1457.txt",3
"tweet1458.txt",1
"tweet1459.txt",2
"tweet146.txt",5
"tweet1460.txt",3
"tweet1461.txt",5
"tweet1462.txt",3
"tweet1463.txt",4
"tweet1464.txt",1
"tweet1465.txt",5
"tweet1466.txt",3
"tweet1467.txt",5
"tweet1468.txt",4
"tweet1469.txt",1
"tweet147.txt",1
"tweet1470.txt",5
"tweet1471.txt",5
"tweet1472.txt",3
"tweet1473.txt",1
"tweet1474.txt",1
"tweet1475.txt",1
"tweet1476.txt",3
"tweet1477.txt",1
"tweet1478.txt",1
"tweet1479.txt",2
"tweet148.txt",1
"tweet1480.txt",4
"tweet1481.txt",2
"tweet1482.txt",1
"tweet1483.txt",5
"tweet1484.txt",2
"tweet1485.txt",1
"tweet1486.txt",2
"tweet1487.txt",2
"tweet1488.txt",4
"tweet1489.txt",2
"tweet149.txt",4
"tweet1490.txt",2
"tweet1491.txt",2
"tweet1492.txt",2
"tweet1493.txt",2
"tweet1494.txt",3
"tweet1495.txt",2
"tweet1496.txt",2
"tweet1497.txt",2
"tweet1498.txt",2
"tweet1499.txt",2
"tweet15.txt",2
"tweet150.txt",3
"tweet1500.txt",2
"tweet1501.txt",2
"tweet1502.txt",4
"tweet1503.txt",2
"tweet1504.txt",5
"tweet1505.txt",4
"tweet1506.txt",4
"tweet1507.txt",2
"tweet1508.txt",1
"tweet1509.txt",2
"tweet151.txt",5
"tweet1510.txt",5
"tweet1511.txt",2
"tweet1512.txt",2
"tweet1513.txt",1
"tweet1514.txt",1
"tweet1515.txt",2
"tweet1516.txt",2
"tweet1517.txt",3
"tweet1518.txt",2
"tweet1519.txt",3
"tweet152.txt",1
"tweet1520.txt",1
"tweet1521.txt",2
"tweet1522.txt",5
"tweet1523.txt",5
"tweet1524.txt",2
"tweet1525.txt",5
"tweet1526.txt",2
"tweet1527.txt",4
"tweet1528.txt",5
"tweet1529.txt",4
"tweet153.txt",4
"tweet154.txt",5
"tweet155.txt",2
"tweet156.txt",3
"tweet157.txt",3
"tweet158.txt",2
"tweet159.txt",1
"tweet16.txt",1
"tweet160.txt",2
"tweet161.txt",3
"tweet162.txt",4
"tweet163.txt",4
"tweet164.txt",2
"tweet165.txt",1
"tweet166.txt",3
"tweet167.txt",5
"tweet168.txt",1
"tweet169.txt",4
"tweet17.txt",2
"tweet170.txt",1
"tweet171.txt",2
"tweet172.txt",3
"tweet173.txt",1
"tweet174.txt",1
"tweet175.txt",3
"tweet176.txt",1
"tweet177.txt",2
"tweet178.txt",5
"tweet179.txt",5
"tweet18.txt",3
"tweet180.txt",5
"tweet181.txt",3
"tweet182.txt",4
"tweet183.txt",1
"tweet184.txt",2
"tweet185.txt",1
"tweet186.txt",4
"tweet187.txt",3
"tweet188.txt",1
"tweet189.txt",2
"tweet19.txt",1
"tweet190.txt",1
"tweet191.txt",5
"tweet192.txt",4
"tweet193.txt",1
"tweet194.txt",1
"tweet195.txt",2
"tweet196.txt",3
"tweet197.txt",3
"tweet198.txt",3
"tweet199.txt",2
"tweet2.txt",4
"tweet20.txt",2
"tweet200.txt",5
"tweet201.txt",4
"tweet202.txt",3
"tweet203.txt",3
"tweet204.txt",4
"tweet205.txt",3
"tweet206.txt",1
"tweet207.txt",1
"tweet208.txt",1
"tweet209.txt",5
"tweet21.txt",1
"tweet210.txt",3
"tweet211.txt",4
